City,Year,zhuanli,keji,jiaoyu,rgdp,gongye,waizi,renkou
24,2019,92460,4263655,9179869,134982,8145,2473,1462
24,2020,100587,3895424,9956956,157279,8776,2380,1469
24,2021,139780,4061978,10005937,155800,8804,2276,2488
24,2022,179317,4227023,10394696,173600,9309,2238,1493
25,2018,32073,672942,2178419,127264,2348,361,681
25,2019,44081,805440,2530631,152886,2556,377,697
25,2020,55004,976200,2890500,165681,2707,372,710
25,2021,76323,1008615,3062752,159322,3231,363,932
25,2022,91964,1082628,3226752,174520,3975,385,734
26,2018,28926,422110,1536353,141258,5258,721,493
26,2019,35255,496770,1667250,174270,5846,753,497
26,2020,38335,552100,1782000,180044,6215,729,503
26,2021,60702,489234,2032688,165851,7006,723,746
26,2022,79738,645468,2168942,187415,7723,733,515
27,2018,16423,250894,978778,122721,4240,466,379
27,2019,23334,253942,1036131,149277,4248,464,382
27,2020,24858,267300,1067200,156390,4676,430,385
27,2021,41321,218666,1276041,147939,5065,410,528
27,2022,55463,338551,1360615,165724,5663,430,388
28,2018,53223,1240275,2995668,145556,9840,2853,691
28,2019,75837,1522777,3129530,173765,10393,2900,704
28,2020,81145,1815800,3491874,179174,11042,2838,723
28,2021,138861,2162786,3850201,158466,11900,2826,1275
28,2022,185133,2368694,4191879,177505,12494,2823,762
29,2018,19057,272407,1529899,92702,5131,620,764
29,2019,24578,377790,1483343,115320,5220,627,763
29,2020,19637,330100,1720700,128294,4966,519,760
29,2021,30662,410379,1917646,129900,5365,475,773
29,2022,40867,503323,1897358,142721,6178,479,752
30,2018,4368,74948,718379,48311,1747,56,591
30,2019,8488,117461,757369,55906,1669,49,591
30,2020,7890,148400,843300,62840,1781,48,592
30,2021,13960,158205,969110,65503,2065,53,499
30,2022,17078,175728,1038599,74476,2310,55,591
31,2018,42227,923236,2792968,124286,5533,465,754
31,2019,55379,1182090,3154350,140180,5431,457,774
31,2020,61568,1481879,3635648,152465,5698,445,795
